,count,taxon.id,taxon.rank,taxon.rank_level,taxon.iconic_taxon_id,taxon.ancestor_ids,taxon.is_active,taxon.name,taxon.parent_id,taxon.ancestry,taxon.extinct,taxon.default_photo.id,taxon.default_photo.license_code,taxon.default_photo.attribution,taxon.default_photo.url,taxon.default_photo.original_dimensions.height,taxon.default_photo.original_dimensions.width,taxon.default_photo.flags,taxon.default_photo.square_url,taxon.default_photo.medium_url,taxon.taxon_changes_count,taxon.taxon_schemes_count,taxon.observations_count,taxon.flag_counts.resolved,taxon.flag_counts.unresolved,taxon.current_synonymous_taxon_ids,taxon.atlas_id,taxon.complete_species_count,taxon.wikipedia_url,taxon.iconic_taxon_name,taxon.preferred_common_name,taxon.conservation_status.source_id,taxon.conservation_status.user_id,taxon.conservation_status.authority,taxon.conservation_status.status,taxon.conservation_status.status_name,taxon.conservation_status.geoprivacy,taxon.conservation_status.iucn,taxon.conservation_status.place.id,taxon.conservation_status.place.name,taxon.conservation_status.place.display_name,taxon.conservation_status.place.ancestry,taxon.conservation_status.place_id,taxon.establishment_means.id,taxon.establishment_means.establishment_means,taxon.establishment_means.place.id,taxon.establishment_means.place.name,taxon.establishment_means.place.display_name,taxon.establishment_means.place.ancestry,taxon.preferred_establishment_means
39,1,41301,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 40268, 446946, 446959, 41226, 846197, 41293, 41301]",True,Tadarida brasiliensis,41293,48460/1/2/355675/40151/848317/848320/848324/40268/446946/446959/41226/846197/41293,False,36521963,cc-by-nc,"(c) JABZ, some rights reserved (CC BY-NC), uploaded by JABZ",https://inaturalist-open-data.s3.amazonaws.com/photos/36521963/square.jpg,1004,1500,[],https://inaturalist-open-data.s3.amazonaws.com/photos/36521963/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/36521963/medium.jpg,0,6,4036,0,0,,60.0,,http://en.wikipedia.org/wiki/Mexican_free-tailed_bat,Mammalia,Mexican Free-tailed Bat,,,,,,,,,,,,,,,,,,,
40,1,41314,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 40268, 446946, 446959, 41226, 846197, 41311, 41314]",True,Nyctinomops femorosaccus,41311,48460/1/2/355675/40151/848317/848320/848324/40268/446946/446959/41226/846197/41311,False,240061841,,"(c) Diego Barrales, all rights reserved, uploaded by Diego Barrales",https://static.inaturalist.org/photos/240061841/square.jpg,1365,2048,[],https://static.inaturalist.org/photos/240061841/square.jpg,https://static.inaturalist.org/photos/240061841/medium.jpg,0,6,48,0,0,,,,http://en.wikipedia.org/wiki/Pocketed_free-tailed_bat,Mammalia,Pocketed Free-tailed Bat,,,,,,,,,,,,,,,,,,,
41,1,41777,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 41573, 41770, 526556, 41775, 41777]",True,Lontra canadensis,41775,48460/1/2/355675/40151/848317/848320/848324/41573/41770/526556/41775,False,99994014,,"(c) Keith Dvorsky, all rights reserved, uploaded by Keith Dvorsky",https://static.inaturalist.org/photos/99994014/square.jpg,1514,2048,[],https://static.inaturalist.org/photos/99994014/square.jpg,https://static.inaturalist.org/photos/99994014/medium.jpg,0,6,20198,1,0,,30.0,,http://en.wikipedia.org/wiki/North_American_river_otter,Mammalia,North American River Otter,,,NatureServe,s3,vulnerable,obscured,30.0,18.0,Texas,"Texas, US",97394/1,,,,,,,,
42,1,42070,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 41573, 42043, 42054, 42070]",True,Vulpes macrotis,42054,48460/1/2/355675/40151/848317/848320/848324/41573/42043/42054,False,191246704,,"(c) Paul Stiles, all rights reserved, uploaded by Paul Stiles",https://static.inaturalist.org/photos/191246704/square.jpeg,1197,2048,[],https://static.inaturalist.org/photos/191246704/square.jpeg,https://static.inaturalist.org/photos/191246704/medium.jpeg,1,7,963,1,0,,100.0,,https://en.wikipedia.org/wiki/Kit_fox,Mammalia,Kit Fox,,,,,,,,,,,,,,,,,,,
43,1,44097,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848323, 43698, 870764, 44081, 481657, 44082, 44097]",True,Chaetodipus eremicus,44082,48460/1/2/355675/40151/848317/848320/848323/43698/870764/44081/481657/44082,False,75977,,"(c) Dan Leavitt, all rights reserved, uploaded by Dan Leavitt",https://static.inaturalist.org/photos/75977/square.JPG,1536,2048,[],https://static.inaturalist.org/photos/75977/square.JPG,https://static.inaturalist.org/photos/75977/medium.JPG,0,6,27,1,0,,,,http://en.wikipedia.org/wiki/Chihuahuan_pocket_mouse,Mammalia,Eastern Desert Pocket Mouse,,,,,,,,,,,,,,,,,,,
44,1,44390,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848323, 43698, 870778, 488924, 55986, 325776, 325775, 44349, 44390]",True,Peromyscus eremicus,44349,48460/1/2/355675/40151/848317/848320/848323/43698/870778/488924/55986/325776/325775/44349,False,41600635,cc-by-nc-nd,"(c) Centro Integralmente Planeado Playa Espíritu. FONATUR, Sinaloa., some rights reserved (CC BY-NC-ND), uploaded by Centro Integralmente Planeado Playa Espíritu. FONATUR, Sinaloa.",https://inaturalist-open-data.s3.amazonaws.com/photos/41600635/square.jpeg,1365,2048,[],https://inaturalist-open-data.s3.amazonaws.com/photos/41600635/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/41600635/medium.jpeg,1,6,303,0,0,,,,http://en.wikipedia.org/wiki/Cactus_mouse,Mammalia,Cactus Mouse,,,,,,,,,,,,,,,,,,,
45,1,74113,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 152870, 424850, 42241, 568826, 846321, 42396, 74113]",True,Bos taurus,42396,48460/1/2/355675/40151/848317/848320/848324/152870/424850/42241/568826/846321/42396,False,273302691,cc-by-sa,"(c) Verum, some rights reserved (CC BY-SA)",https://inaturalist-open-data.s3.amazonaws.com/photos/273302691/square.jpg,1365,2048,[],https://inaturalist-open-data.s3.amazonaws.com/photos/273302691/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/273302691/medium.jpg,1,3,24963,2,0,,,,http://en.wikipedia.org/wiki/Cattle,Mammalia,Domestic Cattle,,,,,,,,,,,,,99531672.0,introduced,55071.0,Big Bend National Park,"Big Bend National Park, US, TX",97394/1/18,introduced
46,1,74207,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848323, 43698, 870764, 44027, 1317270, 846225, 71834, 74207]",True,Cratogeomys castanops,71834,48460/1/2/355675/40151/848317/848320/848323/43698/870764/44027/1317270/846225/71834,False,164519276,cc-by-nc-nd,"(c) Andrés Ortega Chufani, some rights reserved (CC BY-NC-ND), uploaded by Andrés Ortega Chufani",https://inaturalist-open-data.s3.amazonaws.com/photos/164519276/square.jpg,1080,1440,[],https://inaturalist-open-data.s3.amazonaws.com/photos/164519276/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/164519276/medium.jpg,0,6,115,0,0,,,,http://en.wikipedia.org/wiki/Yellow-faced_pocket_gopher,Mammalia,Yellow-faced Pocket Gopher,,,,,,,,,,,,,,,,,,,
47,1,74476,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 40268, 446946, 446959, 40269, 846180, 846297, 40516, 1492824, 74476]",True,Lasiurus xanthinus,1492824,48460/1/2/355675/40151/848317/848320/848324/40268/446946/446959/40269/846180/846297/40516/1492824,False,323991,cc-by-sa,"(c) Juan Cruzado Cortés, some rights reserved (CC BY-SA), uploaded by Juan Cruzado Cortés",https://inaturalist-open-data.s3.amazonaws.com/photos/323991/square.jpg,683,1024,[],https://inaturalist-open-data.s3.amazonaws.com/photos/323991/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/323991/medium.jpg,1,6,114,0,0,,,,http://en.wikipedia.org/wiki/Western_yellow_bat,Mammalia,Western Yellow Bat,,,,,,,,,,,,,,,,,,,
48,1,74756,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848323, 43698, 870778, 488924, 55986, 325776, 735166, 44737, 1431442, 74756]",True,Neotoma leucodon,1431442,48460/1/2/355675/40151/848317/848320/848323/43698/870778/488924/55986/325776/735166/44737/1431442,False,663345,cc-by-sa,"(c) Juan Cruzado Cortés, some rights reserved (CC BY-SA), uploaded by Juan Cruzado Cortés",https://inaturalist-open-data.s3.amazonaws.com/photos/663345/square.JPG,1365,2048,[],https://inaturalist-open-data.s3.amazonaws.com/photos/663345/square.JPG,https://inaturalist-open-data.s3.amazonaws.com/photos/663345/medium.JPG,0,6,52,0,0,,,,http://en.wikipedia.org/wiki/White-toothed_woodrat,Mammalia,White-toothed Woodrat,,,,,,,,,,,,,,,,,,,
49,1,179987,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848323, 43698, 129411, 45933, 339572, 209650, 179975, 179987]",True,Ictidomys parvidens,179975,48460/1/2/355675/40151/848317/848320/848323/43698/129411/45933/339572/209650/179975,False,253428,cc-by-nc,"(c) Greg Lasley, some rights reserved (CC BY-NC), uploaded by Greg Lasley",https://inaturalist-open-data.s3.amazonaws.com/photos/253428/square.jpg,667,1000,[],https://inaturalist-open-data.s3.amazonaws.com/photos/253428/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/253428/medium.jpg,1,2,980,1,0,,91.0,,http://en.wikipedia.org/wiki/Ictidomys_parvidens,Mammalia,Rio Grande Ground Squirrel,,,,,,,,,,,,,,,,,,,
50,1,1264431,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 41573, 41770, 526558, 1264428, 1264431]",True,Neogale frenata,1264428,48460/1/2/355675/40151/848317/848320/848324/41573/41770/526558/1264428,False,77935414,cc-by,"(c) benjchristensen, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/77935414/square.jpg,1365,2048,[],https://inaturalist-open-data.s3.amazonaws.com/photos/77935414/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/77935414/medium.jpg,1,0,3668,0,0,,36110.0,,https://en.wikipedia.org/wiki/Long-tailed_weasel,Mammalia,Long-tailed Weasel,,,,,,,,,,,,,,,,,,,
51,1,1353297,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848323, 43094, 43095, 43096, 1353297]",True,Sylvilagus holzneri,43096,48460/1/2/355675/40151/848317/848320/848323/43094/43095/43096,False,91006437,cc-by-nc,"(c) Victoria Aguilar, some rights reserved (CC BY-NC), uploaded by Victoria Aguilar",https://inaturalist-open-data.s3.amazonaws.com/photos/91006437/square.jpeg,1365,2048,[],https://inaturalist-open-data.s3.amazonaws.com/photos/91006437/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/91006437/medium.jpeg,2,0,147,0,0,,53988.0,,https://en.wikipedia.org/wiki/Robust_cottontail,Mammalia,Holzner Cottontail,15286.0,,IUCN Red List,en,endangered,obscured,40.0,1.0,United States,United States,97394,,,,,,,,
